generation,genome,fitness
20,0.0104881,-0.811394
20,0.199211,1.25061
20,0.385457,-0.146769
20,0.199211,1.25061
20,-0.562659,-0.905599
20,0.477959,-0.798407
20,0.199211,1.25061
20,0.199211,1.25061
20,0.199211,1.25061
20,-0.37048,-1.86807
20,0.199211,1.25061
20,0.199211,1.25061
20,0.651424,-0.295846
20,0.199211,1.25061
20,0.199211,1.25061
20,0.199211,1.25061
20,0.199211,1.25061
20,0.199211,1.25061
20,0.199211,1.25061
20,-0.234155,-3.12775
20,0.199211,1.25061
20,0.199211,1.25061
20,0.199211,1.25061
20,0.973206,-0.36435
20,0.199211,1.25061
20,0.199211,1.25061
20,0.199211,1.25061
20,0.199211,1.25061
20,0.199211,1.25061
20,0.199211,1.25061
20,0.199211,1.25061
21,0.199211,1.25061
21,0.199211,1.25061
21,0.685054,-0.0812185
21,0.199211,1.25061
21,0.199211,1.25061
21,0.199211,1.25061
21,0.199211,1.25061
21,0.199211,1.25061
21,0.199211,1.25061
21,0.78793,0.294468
21,0.622819,-0.480381
21,0.7549,0.240348
21,0.199211,1.25061
21,0.137314,0.994923
21,-0.35216,-2.07182
21,-0.699333,-1.53283
21,0.199211,1.25061
21,0.199211,1.25061
21,0.199211,1.25061
21,0.199211,1.25061
21,0.199211,1.25061
21,0.040732,-0.279681
21,0.199211,1.25061
21,0.472172,-0.776739
21,0.199211,1.25061
21,0.199211,1.25061
21,0.199211,1.25061
21,0.199211,1.25061
21,0.199211,1.25061
21,0.199211,1.25061
21,0.0118734,-0.78655
21,0.199211,1.25061
21,0.199211,1.25061
21,0.199211,1.25061
21,1.14646,0.00767776
21,0.199211,1.25061
21,0.199211,1.25061
21,0.199211,1.25061
21,0.158772,1.13961
21,1.14182,-0.0337239
21,0.199211,1.25061
21,0.199211,1.25061
21,0.199211,1.25061
21,0.302127,0.704346
21,0.199211,1.25061
21,0.199211,1.25061
21,0.199211,1.25061
21,0.199211,1.25061
21,0.984185,-0.405755
21,0.199211,1.25061
22,0.199211,1.25061
22,0.199211,1.25061
22,-0.598901,-1.03065
22,0.199211,1.25061
22,0.199211,1.25061
22,0.199211,1.25061
22,0.186872,1.2391
22,0.199211,1.25061
22,0.199211,1.25061
22,0.199211,1.25061
22,0.394529,-0.234115
22,0.199211,1.25061
22,0.199211,1.25061
22,0.199211,1.25061
22,0.199211,1.25061
22,0.199211,1.25061
22,0.199211,1.25061
22,0.199211,1.25061
22,0.199211,1.25061
22,-0.0814488,-2.35571
22,0.199211,1.25061
22,0.199211,1.25061
22,0.199211,1.25061
22,-0.756216,-1.69875
22,0.199211,1.25061
22,0.199211,1.25061
22,0.199211,1.25061
22,0.199211,1.25061
22,0.199211,1.25061
22,0.199211,1.25061
22,-0.633745,-1.2006
